unique_id,Interval,MAE,RMSE,RMAE
AAPL,10,10.966241541389016,12.835422090102432,6.8259790861396175
JPM,10,6.517194185144761,8.196600119317461,5.055508712076822
MSFT,10,25.792398261216103,30.367456547906627,9.169712779755331
NVDA,10,5.026821597566493,5.8403495426567025,18.6521281435912
TSLA,10,21.142949812945204,25.1186204317796,11.621531575037833
AAPL,15,12.040987383243333,14.263771926190591,7.494958755402298
JPM,15,6.01752293514476,7.7184722120518146,4.66790443241499
MSFT,15,27.62411131498449,33.29544018970657,9.820923358464528
NVDA,15,5.4894648475664924,6.281103571584521,20.368775734177056
TSLA,15,15.141684360710592,19.224125380166857,8.322848252210942
AAPL,30,17.110524246610755,19.629333022850837,10.650511409896971
JPM,30,5.352515859087775,7.021608179510349,4.1520460781769
MSFT,30,34.905845793672434,41.352472153198136,12.40972541679866
NVDA,30,7.024124448906394,7.772250393766239,26.063162731090127
TSLA,30,20.4753871953843,25.016000656863834,11.254596019359179
AAPL,60,18.628601053538606,21.432236677708445,11.595444137863366
JPM,60,4.437731715389475,5.471761955947857,3.4424310081398604
MSFT,60,35.32079255536247,42.15814240187251,12.557247279056375
NVDA,60,8.514810524037081,9.31139016338733,31.59438502643971
TSLA,60,18.16008003798541,22.723987016959935,9.981953579506833
AAPL,90,16.29481805003447,18.9166508194489,10.142771960856988
JPM,90,5.322583781752643,6.236226605099481,4.12882720922203
MSFT,90,37.387317775232646,44.442476499857186,13.291938273139866
NVDA,90,9.233117198604807,9.887415235242448,34.25967717584085
TSLA,90,17.84570503037397,22.339691515915664,9.809152758917353
